#,Word,Link,POS,Definition
98,appoint,https://www.handspeak.com/word/a/appoint.mp4,NN,
99,approach,https://www.handspeak.com/word/a/approach.mp4,NN,
100,tactic,https://www.handspeak.com/word/t/tactic-plan.mp4,JJ,
101,appropriation,https://www.handspeak.com/word/a/appropriation.mp4,NN,
102,approve,https://www.handspeak.com/word/a/approve.mp4,VB,
103,up to now,https://www.handspeak.com/word/u/up-to-now.mp4,RB,
104,argue,https://www.handspeak.com/word/a/argue.mp4,NN,
105,arm,https://www.handspeak.com/word/a/arm.mp4,NN,
106,armadillo,https://www.handspeak.com/word/a/armadillo.mp4,NN,
107,army,https://www.handspeak.com/word/a/army.mp4,NN,
108,around,https://www.handspeak.com/word/a/around-env.mp4,IN,
109,surrounding,https://www.handspeak.com/word/s/surrounding.mp4,VBG,
110,arrest,https://www.handspeak.com/word/a/arrest.mp4,NN,
111,detain,https://www.handspeak.com/word/d/detain.mp4,NN,
112,seize,https://www.handspeak.com/word/s/seize.mp4,NN,
113,arrive,https://www.handspeak.com/word/a/arrive.mp4,JJ,
114,art,https://www.handspeak.com/word/a/art.mp4,NN,
115,flicker,https://www.handspeak.com/word/f/flicker.mp4,NN,
116,article,https://www.handspeak.com/word/a/article.mp4,NN,
117,ask,https://www.handspeak.com/word/a/ask.mp4,NN,
118,ask away,https://www.handspeak.com/word/a/ask-away.mp4,VB,
119,ask out,https://www.handspeak.com/word/a/ask-out.mp4,VB,
120,ASL,https://www.handspeak.com/word/a/asl-fs.mp4,NN,
121,rote learning,https://www.handspeak.com/word/r/rote-learning.mp4,NN,
122,association,https://www.handspeak.com/word/a/association.mp4,NN,
123,asthma,https://www.handspeak.com/word/a/asthma.mp4,NN,
124,athlete,https://www.handspeak.com/word/a/athlete.mp4,NN,
125,attention,https://www.handspeak.com/word/a/attention.mp4,NN,
126,hear,https://www.handspeak.com/word/h/hear-sound.mp4,NN,
127,attract attention,https://www.handspeak.com/word/a/attract-attention.mp4,JJ,
128,attitude,https://www.handspeak.com/word/a/attitude.mp4,NN,
129,attractive,https://www.handspeak.com/word/a/attract.mp4,JJ,
130,auction,https://www.handspeak.com/word/a/auction.mp4,NN,
131,audiology,https://www.handspeak.com/word/a/audiology.mp4,NN,
132,aunt,https://www.handspeak.com/word/a/aunt.mp4,NN,
133,Australia,https://www.handspeak.com/word/a/australia.mp4,NNP,
134,Australian,https://www.handspeak.com/word/a/australia2.mp4,JJ,
135,Austria,https://www.handspeak.com/word/a/austria.mp4,NNS,
136,Austrian,https://www.handspeak.com/word/a/austria2.mp4,JJ,
137,author,https://www.handspeak.com/word/a/author.mp4,NN,
138,automatic,https://www.handspeak.com/word/a/automatic.mp4,JJ,
139,median,https://www.handspeak.com/word/m/median.mp4,NN,
140,average,https://www.handspeak.com/word/a/average-divide.mp4,JJ,
141,avoid,https://www.handspeak.com/word/a/avoid.mp4,NN,
142,award,https://www.handspeak.com/word/a/award-verb.mp4,NN,
143,prize,https://www.handspeak.com/word/p/prize-fs.mp4,NN,
144,away,https://www.handspeak.com/word/a/away.mp4,RB,
145,awe,https://www.handspeak.com/word/a/awe.mp4,NN,
146,awestruck,https://www.handspeak.com/word/a/awestruck.mp4,NN,
147,awful,https://www.handspeak.com/word/a/awful.mp4,NN,
148,awkward,https://www.handspeak.com/word/a/awkward.mp4,NN,
149,backward,https://www.handspeak.com/word/b/backward.mp4,NN,
150,bad,https://www.handspeak.com/word/b/bad.mp4,JJ,
151,bagel,https://www.handspeak.com/word/b/bagel.mp4,NN,
152,Bahrain,https://www.handspeak.com/word/b/bahrain.mp4,NN,
153,bald,https://www.handspeak.com/word/b/bald.mp4,NN,
154,ball,https://www.handspeak.com/word/b/ball.mp4,NN,
155,balloon,https://www.handspeak.com/word/b/balloon.mp4,NN,
156,banana,https://www.handspeak.com/word/b/banana.mp4,NN,
157,basement,https://www.handspeak.com/word/b/basement.mp4,NN,
158,basic,https://www.handspeak.com/word/b/basic.mp4,JJ,
159,basketball,https://www.handspeak.com/word/b/basketball.mp4,NN,
160,basking,https://www.handspeak.com/word/b/basking.mp4,NN,
161,battery,https://www.handspeak.com/word/b/battery.mp4,NN,
162,bark,https://www.handspeak.com/word/b/bark.mp4,NN,
163,baseball,https://www.handspeak.com/word/b/baseball.mp4,NN,
164,bath,https://www.handspeak.com/word/b/bath.mp4,NN,
165,bawl out,https://www.handspeak.com/word/b/bawl-out.mp4,NN,
166,been to,https://www.handspeak.com/word/b/been-to.mp4,VBN,
167,beach,https://www.handspeak.com/word/b/beach.mp4,NN,
168,bear,https://www.handspeak.com/word/b/bear.mp4,NN,
169,beat (defeat),https://www.handspeak.com/word/b/beat-it.mp4,NN,
170,beat (sound),https://www.handspeak.com/word/b/beat-sound.mp4,NN,
171,beautiful,https://www.handspeak.com/word/b/beautiful.mp4,NN,
172,because,https://www.handspeak.com/word/b/because.mp4,IN,
173,as,https://www.handspeak.com/word/a/as-since.mp4,IN,
174,become,https://www.handspeak.com/word/b/become.mp4,NN,
175,bed,https://www.handspeak.com/word/b/bed.mp4,NN,
176,bedroom,https://www.handspeak.com/word/b/bedroom.mp4,NN,
177,before,https://www.handspeak.com/word/b/before.mp4,IN,
178,hitherto,https://www.handspeak.com/word/b/hitherto.mp4,NN,
179,predecessor,https://www.handspeak.com/word/p/predecessor.mp4,NN,
180,beg,https://www.handspeak.com/word/b/beg.mp4,NN,
181,petition,https://www.handspeak.com/word/p/petition.mp4,NN,
182,behind,https://www.handspeak.com/word/b/behind.mp4,IN,
183,believe,https://www.handspeak.com/word/b/believe.mp4,VB,
184,below,https://www.handspeak.com/word/b/below.mp4,IN,
185,belt,https://www.handspeak.com/word/b/belt-waist.mp4,NN,
